id|Nombre Comercial|Clasificación|Dirección|Referencia de Dirección |Teléfona Principal|Teléfono Secundario|Correo Electrónico|Dirección web|Horario de atención |estimacion de usuarios mensual|id_1
5765|PUERTOCITY S.A.|AGENCIA DE VIAJES INTERNACIONAL|CDLA. URDESA CENTRAL. AV. VICTOR EMILIO ESTRADA # 803 Y GUAYACANES, PISO 1, OFC 2.||5017550||puertocity@live.com||Lunes a Viernes 08h30 a 17h30|214|13261
5766|PUERTODELFINTOURS|OPERADOR TURÍSTICO|Calle Central  000 Diagonal a la Iglesia| Ingresando al Puerto el Morro por la Avenida Central Principal, girar el redondel de lado derecho, diagonal a la iglesia. |985606683||delfineselmorro20@gmail.com||Lunes a viernes de 08:00 a 18:00|187|13262
5767|PULPO|RESTAURANTE|URB. ENTRE RIOS, SOLAR #36, MZ.Z1||2834021||||Lunes a sabado de 08:00 a22:00|226|13263
5768|PUMA CRIOLLO EL|RESTAURANTE|TUNGURAHUA #928-B E/ AGUIRRE Y CLEMENTE BALLEN ||5016805||||Lunes a sabado de 08:00 a22:00|109|13264
5769|PUNTA AZUL|HOSTERÍA|PEDERNALES VIA COJIMIES||5302697||hotelpuntaazul@hotmail.com||Lunes a Domingo 24 horas|146|13265
5770|PUNTA BALLENA|RESTAURANTE|CALLE PRINCIPAL AL MATAL||53027310||||Lunes a sabado de 08:00 a22:00|195|13266
5771|PUNTA BLANCA|HOTEL|AV. DEL PESCADOR  S/N ENTRADA 7|A TRES CUADRAS DEL YACTH CLUB DE PUNTA BLANCA|42918434|993237574|silvia_baquerizof@hotmail.com|www.hosteriapuntablanca.com|Lunes a Domingo 24 horas|203|13267
5772|PUNTA BLANCA LODGE TENT CAMP|HOTEL|TRONCAL DEL PACÍFICO KM 74.5 VÍA JAMA – PEDERNALES S/N S/N|A CINCUENTA METROS DEL PUENTE DEL ESTERO PUNTA BLANCA|99922755|993598232|info@hotelpuntablanca.com|www.hotelpuntablanca.com|Lunes a Domingo 24 horas|185|13268
5773|PUNTA DEL MAR|HOTEL|AV. CUARTA S/N CALLE 23|JUNTO AL JARDIN DE INFANTES ROSA ALAVA DE VICUÑA|42786001|994887393|rrpp@hotelpuntadelmar.com||Lunes a Domingo 24 horas|116|13269
5774|PUNTA ESTE |RESTAURANTE|AV. CIMA VIA A PIÑAS||||||Lunes a sabado de 08:00 a22:00|133|13270
5775|PUNTA HILL|HOTEL|AV. PRINCIPAL RUTA DEL SPONDYLUS 0 DIAGONAL AL MONUMENTO DE SURFISTA|VIA A OLON A 150 METROS DEL MONUMENTO DE SURFISTA|43039400|992169613|hotelpuntahills@gmail.com||Lunes a Domingo 24 horas|237|13271
5776|PUNTA MARINA|RESTAURANTE|PUERTO JELI||99057090||||Lunes a sabado de 08:00 a22:00|122|13272
5777|PUNTA PIEDRERO|HOSTAL|FINAL DE MALECON, SECTOR SUR||2300013||puntapiedrero@hipovista.com|| Lunes a domingo 24 horas|129|13273
5778|PUNTA PRIETA GUEST HOUSE|HOSTERÍA|KM. 36 VIA PEDERNALES - JAMA S/N E15 RUTA DEL SPONDYLUS|A UN KILOMETRO DE CABAÑAS PUNTA BLANCA|53020693|959666321|aordoneztapia@gmail.com|www.puntaprieta.com|Lunes a Domingo 24 horas|211|13274
5779|PUNTARENA|RESTAURANTE|AVENIDA ENRIQUEZ GALLOS  S/N CALLE 17| SALINAS SECTOR DE CEVICHELANDIA |996541133||jimsurf-24@hotmail.com||Lunes a sabado de 08:00 a22:00|105|13275
5780|PUNTILLA LA|RESTAURANTE|VICENTE ROCAFUERTE Y 10 DE AGOSTO||97182909||||Lunes a sabado de 08:00 a22:00|141|13276
5781|PUNTO AL SUR|RESTAURANTE|COLOMBIA 401 Y CHILE||2581246||||Lunes a sabado de 08:00 a22:00|149|13277
5782|PUNTO DE ORO|HOTEL|JORGE LOPEZ Y 24 DE MAYO||2330167||||Lunes a Domingo 24 horas|157|13278
5783|PUNTO EL|RESTAURANTE|VICENTE ROCAFUERTE Y GUIDO CHIRIBOGA||2060113||||Lunes a sabado de 08:00 a22:00|208|13279
5784|PUNTO EL PUNTO DEL SABOR PIÑAS|RESTAURANTE|SUCRE S/N Y JUAN MONTALVO||||lorenapardo63@hotmail.com||Lunes a sabado de 08:00 a22:00|110|13280
5785|PUNTO FIJO LOUGE BAR|BAR|AVENIDA 2 S/N CALLE GUIDO CHIRIBOGA| COMUNA MONTAÑITA |976454347||esmargmonarca10@gmail.com||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|240|13281
5786|PUNTO FIJO LOUNGE BAR|BAR|CALLE GUIDO CHIRIBOGA S/N CALLEJON 2| MONTAÑITA FRENTE A DISCOTECA LOST BEACH |939267450|939267450|puntofijoloungebar@gmail.com||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|124|13282
5787|PUNTO VIAJERO|AGENCIA DE VIAJES INTERNACIONAL|AV. J. ORRANTIA 114 PROFESSIONAL CENTER PISO#1-OFC#105| AV. J. ORRANTIA 114 PISO#1-OFC#105-TM#4 / PROFESSIONAL CENTER 1 105 / TARQUI - GUAYAQUI&nbsp  DIAGONAL A EDIFICIO NOBIS&nbsp  |998094154|995357035|mjimenez@puntoviajero.com|www.puntoviajero.com|Lunes a Viernes 08h30 a 17h30|126|13283
5788|PUNTRANSMAR|TRANSPORTE TERRESTRE|CANTON PLAYAS, PARROQUIA GENERAL VILLAMIL, SECTOR EL ARENAL VIA A DATA KM. 4.7 JUNTO A LA URBANIZACION ALTAMAR||42950051||puntransmar@gmail.com||Lunes a domingo 24 horas|100|13284
5789|PUR PUR|FUENTE DE SODA|VIA SAN MATEO CDLA. BARBASQUILLO||||purpurmanta@gmail.com||Lunes a viernes  06:00 a 20:00|222|13285
5790|PURA VIDA|FUENTE DE SODA|AVENIDA MELECON INTERSECCION CALLE 25 JUNTO A PINGUINO||42770581||||Lunes a viernes  06:00 a 20:00|152|13286
5791|PURA VIDA MONTAÑITA|RESTAURANTE|AV. 15 DE MAYO S/N Y VICENTE ROCAFUERTE||86921029||||Lunes a sabado de 08:00 a22:00|188|13287
5792|PURO MANABA |RESTAURANTE|CDLA LA  GARZOTA UNO SOLAR 31B MZ 42||2237021||||Lunes a sabado de 08:00 a22:00|249|13288
5793|PUYANGO TRAVEL|OPERADOR TURÍSTICO|25 DE JUNIO 367 Y NAPOLEON MERA||2921672||mrojas@hillaryersort.com||Lunes a viernes de 08:00 a 18:00|225|13289
5794|Q' POLLO |RESTAURANTE|BUENAVISTA Y SAN MARTIN||72918778||||Lunes a sabado de 08:00 a22:00|180|13290
5795|QDQ|BAR|AV. FLAVIO REYES Y CALLE 20||||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|175|13291
5796|QUE ONDA GUEY|FUENTE DE SODA|CDLA. PUERTO AZUL, C.C. PIAZZA BLUE, LOCAL 10||987686229||||Lunes a viernes  06:00 a 20:00|183|13292
5797|QUEEN´S DIM SIM|RESTAURANTE|CDLA. BOLIVARIANA, MZ. K, SOLAR 3||||||Lunes a sabado de 08:00 a22:00|127|13293
5798|QUEENS DIM SIM|ESTABLECIMIENTO MÓVIL||Mercado del Río, C.C. Malecón 2000, sobre las galerías del Malecón|42397327|994049990|ming3388@126.com||Lunes a viernes de 9:00 a 15:00, Lunes a viernes de 16:00 a 22:00|164|13294
5799|QUEVETOURS S.A|OPERADOR TURÍSTICO|DELIA IBARRA MZ-15 SL-8 JOSE JOAQUIN DE OLMEDO Y URUGU|A MEDIA CUADRA DEL PARQUE BOCACHICO|52781703|967278160|jorgecrespo-1960@hotmail.com||Lunes a viernes de 08:00 a 18:00|128|13295
5800|QUEVETRAVEL|OPERADOR TURÍSTICO|CALLE OCTAVA S/N Y AV. 7 DE OCTUBRE||2756615||quevetravel@hotmail.com||Lunes a viernes de 08:00 a 18:00|116|13296
5801|QUIHUBOLE|RESTAURANTE|BENJAMIN CARRION, SOLAR 1-2 Y RODOLFO BAQUERIZO NAZUR, ALBORADA 8AVA ETAPA ||6041489||||Lunes a sabado de 08:00 a22:00|213|13297
5802|QUIL|HOSTAL|CDLA. NAVAL NORTE, CALLE SUFRAGIO LIBRE SOLAR 10, MZ 6||2391942||hostalquil@hotmail.com|| Lunes a domingo 24 horas|224|13298
5803|QUIM TRAVEL|AGENCIA DE VIAJES INTERNACIONAL|Av. Rodrigo Chavez, Parque Empresarial Colón Local 1B Edif. Coloncorp| Local ubicado dentro del Parque Empresial Colón, diagonal a Netlife. |960190611|44602799|travelquimsa@yahoo.com|www.travelquimsa.com|Lunes a Viernes 08h30 a 17h30|147|13299
5804|QUIMBITA|HOSTAL|AVENIDA 13 DE DICIEMBRE S/N CALLE OTMAR STAHELI|FRENTE A LA IGLESIA CATOLICA DE OLON|42788019|994964706|rubenrp1750@hotmail.com|| Lunes a domingo 24 horas|205|13300
5805|QUINSALOMA|HOTEL|AV. PROGRESO S/N VIA LA ERCILIA KM.1||52907413||||Lunes a Domingo 24 horas|104|13301
5806|QUINTA AVENIDA LA|BAR|CALLE QUINTA #1200 Y LA B||2785508||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|222|13302
5807|QUINTA DE ORO|SALA DE RECEPCIONES Y BANQUETES|AV. FERROVIARIA S/N BARRIO LA LIRA||||||Lunes a sabado de 08:00 a22:00|209|13303
5808|QUINTA DE RODOLFO LA|TERMAS Y BALNEARIOS|SITIO COLORADO TRAMO 3 VÍA CIRCUNVALACIÓN||995683855||rodolfovince@hotmail.com||Lunes a sabado de 06:00 a22:00|156|13304
5809|QUINTA DOÑA EMILIA|TERMAS Y BALNEARIOS|VIA PRINCIPAL BARBONES TENDALES||98394505||||Lunes a sabado de 06:00 a22:00|156|13305
5810|QUINTA FORESTAL EL BOSQUE|TERMAS Y BALNEARIOS|BARRIO BANCO DE ARENA, AV. PRINCIPAL S/N KM. 2.5, VIA A NARANJITO||2711164||||Lunes a sabado de 06:00 a22:00|188|13306
5811|QUINTA GISOL|TERMAS Y BALNEARIOS|CALLE ELOY ALFARO VIA MENDOZA||52689308||taniasolopez@hotmail.com||Lunes a sabado de 06:00 a22:00|132|13307
5812|QUINTA JULITA|TERMAS Y BALNEARIOS|SITIO BALNEARIO DOS BOCAS||2916937||||Lunes a sabado de 06:00 a22:00|147|13308
5813|QUINTA LA IGUANA|TERMAS Y BALNEARIOS|VIA NOBOA, CALLE PRINCIPAL A 200 MTS DE LA UNESUM||981069152||pecha_alvarez@hotmail.com||Lunes a sabado de 06:00 a22:00|157|13309
5814|QUINTA LINDA|CENTRO DE RECREACIÓN TURÍSTICA|BARRIO LAS MERCEDES, CARRETERO CALCETA CANUTO KM. 1||52686200||jowiceza@hotmail.com||lunes a sabado de 8:00 a 18:00 |205|13310
5815|QUINTA MARIBEL|TERMAS Y BALNEARIOS|AV. LUIS ALBERTO GILER, FRENTE A GASOLINERALUCY MARIA||2340555||robert_chavez7pónce@hotmail.com||Lunes a sabado de 06:00 a22:00|101|13311
5816|QUINTA NARCISA|TERMAS Y BALNEARIOS|MALVAL||998669254||||Lunes a sabado de 06:00 a22:00|137|13312
5817|QUINTA SAN CARLOS|RESTAURANTE|BARRIO EL CHORRILLOA 100 METROS DE LA TIENDA VANESA||2689541||||Lunes a sabado de 08:00 a22:00|115|13313
5818|QUINTA SAN JUAN|HOSTERÍA|AV. 5 DE JUNIO, KM. 1 1/2 VIA PICOAZA||52337137||info@quintasanjuan.net||Lunes a Domingo 24 horas|220|13314
5819|QUINTA SAN RAMON|TERMAS Y BALNEARIOS|VIA JUNIN SITIO LA SOLEDAD||990998241||daverpasan@outlook.com||Lunes a sabado de 06:00 a22:00|240|13315
5820|QUINTA THALIA|RESTAURANTE|VÍA CHONE - QUITO KM 11||52695316||anibalchica@hotmail.es||Lunes a sabado de 08:00 a22:00|204|13316
5821|QUINTA VERMOR|HOSTERÍA|PROLONGACION DE LA AV ELOY ALFARO S/N SITIO MENDOZA| PASANDO EL PUENTE DEL SITIO MENDOZA |994429088|969537526|carvera_30@hotmail.com||Lunes a Domingo 24 horas|183|13317
5822|QUISQUIS|HOSTAL|Quisquis 917 Garcia Moreno|90510|42286260|997139052|hostalquisquis2016@outlook.com|| Lunes a domingo 24 horas|195|13318
5823|QUITO MANABI|HOSTAL|CALLE QUITO  S/N AV. MANABI|DIAGONAL A COMERCIAL ALEJANDRO VALDIVIESO|52636685|996217564|gelmanavia@hotmail.com|| Lunes a domingo 24 horas|184|13319
5824|QUIZNOS SUB|RESTAURANTE|AV. JOAQUÍN ORRANTIA S/N Y AV. JUAN TANCA MARENGO, C.C. MALL DEL SOL, OFICINA 023||998481244||malldelsol@quiznos.com.ec||Lunes a sabado de 08:00 a22:00|175|13320
5825|QUIZNOS SUB|RESTAURANTE|AV. FELIPE PEZO S/N Y BENJAMIN CARRION, C.C. CITY MALL, LOCAL 228||3068209||||Lunes a sabado de 08:00 a22:00|155|13321
5826|R C A|HOTEL|BOYACA SN JUAN MONTALVO||72968051|998851776|rcahotel@hotmail.com||Lunes a Domingo 24 horas|206|13322
5827|R&M WORLDTRAVEL S.A.|AGENCIA DE VIAJES DUAL|SUCRE 104 Y MALECON, PISO 1, OF. 6.||2516659||gerencia@worldtravel.com.ec||Lunes a Viernes 08h30 a 17h30|206|13323
5828|RACHY`S|RESTAURANTE|CDLA. NUEVA KENNEDY, MZ 31, SOLAR # 18-1||2218365||||Lunes a sabado de 08:00 a22:00|105|13324
5829|RACHY`S|RESTAURANTE|CDLA. FERROVIARIA, AV. SEGUNDA, # 109||||||Lunes a sabado de 08:00 a22:00|246|13325
5830|Radisson Guayaquil|HOTEL|AV. SAN JORGE 805 CALLE NOVENA - CALLE DECIMA|JUNTO AL CENTRO COMERCIAL POLICENTRO|46008080|969302156|rossy.orellana@ghl.hoteles.com|www.radisson.com|Lunes a Domingo 24 horas|186|13326
5831|RAMADA|HOTEL|Malecón 606 y Gral. Manuel Luzarraga|FRENTE AL MALECÓN|42565555|998534295|asistcontab@hotelramada.com|www.hotelramada.com|Lunes a Domingo 24 horas|220|13327
5832|RAMADA DEL SABOR LA|RESTAURANTE|CALLE JORGE WSASHINTON Y AV. COMERCIO||52932664||||Lunes a sabado de 08:00 a22:00|232|13328
5833|RAMIREZ|CAFETERÍA|SAN LORENZO AV. 13 Y CALLE 52 ATRAS DE LA IGLESIA||||||Lunes a Viernes 08h30 a 17h00|110|13329
5834|RAMIRO|CAFETERÍA|PEDRO MONCAYO# 548 Y LUIS URDANETA ||2455978||||Lunes a Viernes 08h30 a 17h00|248|13330
5835|RAMIRO JUNIOR|FUENTE DE SODA|LIZARDO GARCIA #721 Y COLON||||||Lunes a viernes  06:00 a 20:00|119|13331
5836|RAMON CARNE AL CARBON|RESTAURANTE|VIA SAMBORONDON, C.C. LA PIAZZA, LOCAL 4-C||2837349||ramoncarnealcarbon@hotmail.com||Lunes a sabado de 08:00 a22:00|182|13332
5837|RANCHO CHICO|RESTAURANTE|CDLA. SAUCES OCHO, SOLAR #5, MZ. 454-F-7||||||Lunes a sabado de 08:00 a22:00|110|13333
5838|RANCHO EL |DISCOTECA|CDLA. ALBORADA 11AVA ETAPA  S/N  -  BLOQUE  B-2, ALBOCENTRO 5, LOCAL #3-4||||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|132|13334
5839|RANCHO GALAXIE|HOSTAL|PRINCIPAL S/N  KM 3 VIA VELENCIA|||||| Lunes a domingo 24 horas|144|13335
5840|RANCHO JAGOBREWER|RESTAURANTE|Av Belizario Velasquez  01 entrada a la compuerta| via tosagua calceta, parroquia la Estancilla, diagonal a la empresa de agua potable , frente a la entrada a la compuerta&nbsp  |979035501|960786649|ranchojagobrewer@gmail.com||Lunes a sabado de 08:00 a22:00|171|13336
5841|RANCHO LAGUNA|RESTAURANTE|KM. 22 VÍA A LA COSTA, CHONGON, ESTERO TERRA MANGA, LOT. TOFFANY, MZ. 121, SOLAR 2||42739168||lagunarancho@hotmail.com||Lunes a sabado de 08:00 a22:00|237|13337
5842|RANCHO LUNA|RESTAURANTE|GARCÍA MORENO S/N Y FEDERICO PROAÑO||2972372||annabell182@hotmail.com||Lunes a sabado de 08:00 a22:00|235|13338
5843|RANCHO MATEO|RESTAURANTE|kMT. 5 1/2 VIA EL CARMEN||994743000||ericadrian03@gmail.com||Lunes a sabado de 08:00 a22:00|174|13339
5844|RANCHO TEXAS|TERMAS Y BALNEARIOS|CARRETERO JUJAN KM. 44||||||Lunes a sabado de 06:00 a22:00|106|13340
5845|RANCHO VASIJA DE BARRO|RESTAURANTE|MILAGRO, RCTO. EL RECREO, VIA A LAS CATARATAS||42702644||lvillagran@wli.com.ec||Lunes a sabado de 08:00 a22:00|215|13341
5846|RAPIDOS FOOD M. BELEN|FUENTE DE SODA|CIUDADELA LA AURORA||2578478||||Lunes a viernes  06:00 a 20:00|198|13342
5847|RAQUELITA|RESTAURANTE|CALLE: 11 AVA # 723 ENTRE BRASIL Y GOMEZ RENDON.||2467063||||Lunes a sabado de 08:00 a22:00|240|13343
5848|RAYAGUILA|OPERADOR TURÍSTICO|VIA PRINCIAL S/N BARRIO BRISAS DEL MAR|FRENTE A LAS CABAÑAS SUMPA|44591175|990239104|ayanguerayaguila@hotmail.com||Lunes a viernes de 08:00 a 18:00|101|13344
5849|RAYAGUILA |OPERADOR TURÍSTICO|GUIDO CHIRIBOGA S/N CALLE PRIMERA|A UN COSTADO DEL BANCO BOLIVARIANO|44591175|990239104|ayanguerayaguila@hotmail.com||Lunes a viernes de 08:00 a 18:00|230|13345
5850|RAYUELA|BAR|CERRO SANTA ANA, CALLE NUMA POMPILIO LLONA, MZ. 34, SOLAR 2||2303644||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|243|13346
5851|REAL|RESTAURANTE|CDLA. MOREJON ALMEIDA MZ. A1||2436206||||Lunes a sabado de 08:00 a22:00|228|13347
5852|REALES TAMARINDOS|HOSTAL|AV. REALES TAMARINDOS S/N TENNIS CLUB||52653622|992142700|alejandrohidalgo1963@hotmail.com|www.hotelesportoviejo.com| Lunes a domingo 24 horas|110|13348
5853|RECORRIENDO EL MUNDO S.A. RECORMUNDO|AGENCIA DE VIAJES MAYORISTA|BALSAMOS SUR 410 DIAGONAL Y EBANOS|JUNTO A LA UNIDAD EDUCATIVA BALMARA|42380249|982845270|presidencia@recormundo.com|www.recormundo.com|Lunes a Viernes 08h30 a 17h30|121|13349
5854|RECUERDOS PARRILLADA|RESTAURANTE|AV. 25 DE JUNIO Y 9NA. OESTE||||||Lunes a sabado de 08:00 a22:00|203|13350
5855|RECUERDOS PARRILLADA|RESTAURANTE|SUCRE 1423 E/VELA Y SANTA ROSA||||||Lunes a sabado de 08:00 a22:00|230|13351
5856|RED CRAB|RESTAURANTE|VICTOR EMILIO ESTRADA 1205 Y LAURELES ESQUINA||2380512|||www.redcrab.com.ec|Lunes a sabado de 08:00 a22:00|213|13352
5857|RED CRAB|RESTAURANTE|KM 2.5 VIA SAMBORONDON, AV. LICEO DE FRANCIA. EDF PLAZA NOVA||2831110||||Lunes a sabado de 08:00 a22:00|164|13353
5858|RED CRAB|RESTAURANTE|AV. LICEO DE FRANCIA S/N KM. 2.5 VIA SAMBORONDÓN| C.C. PLAZA NOVA |987823639||red.crab@hotmail.com|redcrab.com.ec|Lunes a sabado de 08:00 a22:00|235|13354
5859|RED CRAB|RESTAURANTE|VICTOR EMILIO ESTRADA 1205 LAURELES| VICTOR EMILIO ESTRADA |987823639|42386099|rescorza@redcrab.com.ec|www.redcrab.com|Lunes a sabado de 08:00 a22:00|125|13355
5860|RED CRAB|RESTAURANTE|AV. JOAQUIN ORRANTIA GONZÁLEZ S/N AV. DE LAS AMERICAS| EDIFICIO ÁGORA LC.1-2 |987823639||agora@redcrab.com.ec|redcrab.com.ec|Lunes a sabado de 08:00 a22:00|224|13356
5861|RED LION |BAR|AV. JOAQUIN ORRANTIA S/N ED. PROFESSIONAL CENTER, LOCAL 7-8||2107273||roblesbcikert@gmail.com||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|184|13357
5862|RED LIPS|DISCOTECA|CDLA. URDESA CENTRAL, AV. VICTOR EMILIO ESTRADA 1017, ENTRE ILANES Y JIGUAS||995616789||estefa_diana@hotmail.es||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|135|13358
5863|RED LOBSTER EL DORADO|RESTAURANTE|AV. LEON FEBRES CORDERO S/N KM. 10 C.C. EL DORADO||2591264||ELDORADO@ELROSADO.COM||Lunes a sabado de 08:00 a22:00|235|13359
5864|RED LOUNGE|BAR|CDLA. URDESA AV. LAS LOMAS CALLE 1ERA. CC. URDESA BLOQUE C LC 7||98436113||dmedinai@hotmail.com||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|119|13360
5865|REDELI|CAFETERÍA|CORDOVA 1021 Y AV. 9 DE OCTUBRE ||995360317||xavier_estrada90@hotmail.com||Lunes a Viernes 08h30 a 17h00|191|13361
5866|REDES LAS|RESTAURANTE|MORALES Y PEDRO GUAL||||||Lunes a sabado de 08:00 a22:00|121|13362
5867|REDES LAS|RESTAURANTE|VÍA BAHIA DE CARAQUEZ||||||Lunes a sabado de 08:00 a22:00|122|13363
5868|REDES LAS N° 3|RESTAURANTE|KM. 1 1/2 VIA SANTA ANA||2652245||||Lunes a sabado de 08:00 a22:00|137|13364
5869|REDUX|CAFETERÍA|LOS RIOS #116 ENTRE MANUEL GALECIO Y ALEJO LASCANO||2282627||||Lunes a Viernes 08h30 a 17h00|173|13365
5870|REEF NATURAL TOUR |AGENCIA DE VIAJES DUAL|13 SD ENTRE AV. 20 Y 21|FRENTE A SUPER PACO|55001688|998117848|reefnaturaltour@hotmail.com|www.reefnaturaltour.net|Lunes a Viernes 08h30 a 17h30|201|13366
5871|REFLEJO|HOSTAL|ROCAFUERTE S/N JUAN MONTALVO|A CINCUENTA METROS DE ALMACENES LA GANGA|72917207|988588108|reflejohotel@hotmail.com|| Lunes a domingo 24 horas|179|13367
5872|REFUGIO EL|HOSTAL|AV. 27 Y CALLE 7||2772836|||| Lunes a domingo 24 horas|231|13368
5873|REFUGIO EL|RESTAURANTE|SAN MATEO, BARRIO VIRGEN DEL MAR MZ-1 LOTE 04||||gcruva.1384ge@hotmail.com||Lunes a sabado de 08:00 a22:00|155|13369
5874|REFUGIO EL |RESTAURANTE|CDLA. URDENOR I ETAPA MZ. 122 SOLAR 16||||||Lunes a sabado de 08:00 a22:00|171|13370
5875|REFUGIO EL |HOSTAL|SITIO EL COLORADO||2923227|||| Lunes a domingo 24 horas|157|13371
5876|REFUGIO MONTUBIO|HOSTERÍA|BARRIO LA FELICIDAD  CALLE PRINCIPAL S/N||52400312||mariovalenzuelavarela@yahoo.com||Lunes a Domingo 24 horas|115|13372
5877|REGAL|HOTEL|BOLIVAR SN GUAYAS Y AYACUCHO||72960000|999099799|rosetur.lcastillo@gglobal.com.ec||Lunes a Domingo 24 horas|141|13373
5878|REGALO DE DIOS|RESTAURANTE|CDLA. COLINAS DE LA ALBORADA MZ. 768 SOLAR 20||2643153||||Lunes a sabado de 08:00 a22:00|195|13374
5879|REMEMBRANZAS|PEÑA|JULIO BETANCOURT e/ SUCRE Y COLON||||||Lunes a sabado de 08:00 a22:00|247|13375
5880|REMIENDO AL CORAZON|BAR|Rocafuerte 709 Imbabura| Zona Rosa, Diagonal a Pasteleria california&nbsp  y cerca de parada de la metro via |993261226|42056137|johanita27_2@hotmail.com||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|235|13376
5881|REMINI|RESTAURANTE|MALECÓN Y LOS PALMARES||52340185||||Lunes a sabado de 08:00 a22:00|179|13377
5882|RENÉ PEREZ TURISMO|AGENCIA DE VIAJES DUAL|AV. 13 ENTRADA A MAR BELLA||2921323||ligia@xptecuador.com||Lunes a Viernes 08h30 a 17h30|240|13378
5883|REPOSO DEL GUERRERO EL|HOSTERÍA|CALLE 53 Y AV. 43||2776134||||Lunes a Domingo 24 horas|225|13379
5884|REPRESENTACIONES |AGENCIA DE VIAJES MAYORISTA|KM 6.5 VIA PUNTILLA SAMBORONDON PISO 1 OF2 CC PLAZA LAGOS EDIF PROMENADE NORTE|FRENTE A CAFETERIA SWEETT AND COFFE|43726565|992261544|marjorie@repviajes.com|www.repviajes.com|Lunes a Viernes 08h30 a 17h30|238|13380
5885|REPRESENTACIONES LUJOR C LTDA|AGENCIA DE VIAJES MAYORISTA|9 DE OCTUBRE 424 GRAN PASAJE||2560851||reservas@lujor.com||Lunes a Viernes 08h30 a 17h30|116|13381
5886|REPRESENTACIONES TURISTICAS Y COMERCIALES S.G. CIA|AGENCIA DE VIAJES DUAL|SUCRE Y 15 DE OCTUBRE||72943304||sg_tour@hotmail.com||Lunes a Viernes 08h30 a 17h30|226|13382
5887|REPSEMUN|AGENCIA DE VIAJES MAYORISTA|CALLE PRIMERA 607 AV LAS MONJAS| FRENTE AL RESTAURANT CASANOVA&nbsp  |44548698|997207818|mariapia@repmundiales.com||Lunes a Viernes 08h30 a 17h30|245|13383
5888|REPUBLICA DE LA CERVEZA|BAR|C.C. VILLAGE PLAZA, LOCAL 23, P.B., KM 1.5 VIA A SAMBORONDON|| || ||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|104|13384
5889|REPÚBLICA DEL SABOR|RESTAURANTE|KENNEDY ESTE, AV. SAN JORGE 516, CONDOMINIO SAN JORGE, LOCAL 4||||||Lunes a sabado de 08:00 a22:00|238|13385
5890|REQUE EL|RESTAURANTE|GONZALES SUARES Y PLAZA ACOSTA||968040882||||Lunes a sabado de 08:00 a22:00|190|13386
5891|REQUETERICO|FUENTE DE SODA|CDLA LA PRADERA DOS MZ 32 SOLAR 41 ||||||Lunes a viernes  06:00 a 20:00|119|13387
5892|RESABRO|RESTAURANTE|MALECON SIMON BOLIVAR, TERRAZAS DEL CENTRO COMERCIAL MALECON 2000, LOCAL R-11||991243883||||Lunes a sabado de 08:00 a22:00|239|13388
5893|RESACA|RESTAURANTE|MALECON 2000 INTERSECCION JUNIN||2396800||||Lunes a sabado de 08:00 a22:00|191|13389
5894|RESAKA MARISCOS Y ALGO MAS|RESTAURANTE|AV. MANUEL ESTOMBA E/ SANTA ROSA Y VELA||91226435||||Lunes a sabado de 08:00 a22:00|216|13390
5895|Resero Journey|AGENCIA DE VIAJES INTERNACIONAL|VIA A SAN MATEO S/N SN|ARRIBA DEL RESTAURANTE EL RESERO RINCÓN ARGENTINO|52677651|982428532|qhpame@gmail.com||Lunes a Viernes 08h30 a 17h30|169|13391
5896|RESERO RINCON ARGENTINO EL |RESTAURANTE|SECTOR VIA SAN MATEO SECTOR BARABASQUILLO MADIA CUADRA DEL NUEVO COLISEO||52677651||elreserorinconargentino@hotmail.com |www.elreserorinconargentino.com|Lunes a sabado de 08:00 a22:00|210|13392
